# Unit Overview
Unit,AttacksMade,AttacksReceived,OffHitRate,DefDodgeRate,OffCritRate,AvgDmgDealt,AvgDmgTaken,Kills,Deaths,KDRatio
Archer,183,249,0.934,0.161,0.197,6.51,16.57,23,89,0.26
Assassin,291,168,0.921,0.173,0.275,8.08,15.76,23,47,0.49
Battle Mage,357,193,0.902,0.098,0.160,5.47,12.78,22,33,0.67
Cleric,141,238,0.872,0.088,0.121,27.29,9.56,50,39,1.28
Crossbowman,241,273,0.884,0.106,0.183,8.66,13.22,35,65,0.54
Fighter,423,257,0.903,0.074,0.154,11.88,11.73,69,28,2.46
Goblin Raider,349,240,0.900,0.138,0.192,3.84,17.88,24,90,0.27
Knight,468,645,0.915,0.084,0.103,8.61,6.37,64,46,1.39
Mage,174,91,0.908,0.044,0.103,31.06,16.78,69,3,23.00
Marksman,188,227,0.872,0.150,0.255,6.53,16.64,22,74,0.30
Ogre,307,401,0.873,0.045,0.081,0.87,3.26,1,20,0.05
Orc Warrior,241,262,0.888,0.080,0.112,16.54,7.91,64,22,2.91
Paladin,471,634,0.879,0.073,0.104,6.82,6.91,68,61,1.11
Priest,206,69,0.883,0.029,0.058,26.18,15.55,77,11,7.00
Ranger,100,291,0.920,0.124,0.190,11.57,12.01,15,60,0.25
Rogue,3,290,1.000,0.162,0.333,1.00,11.41,0,60,0.00
Scout,218,187,0.872,0.219,0.216,5.36,12.95,32,36,0.89
Skeleton Archer,366,130,0.913,0.077,0.167,5.55,20.44,36,71,0.51
Sorcerer,236,101,0.898,0.099,0.114,35.16,15.25,135,2,67.50
Spearman,403,190,0.891,0.132,0.144,7.43,9.48,47,14,3.36
Swordsman,428,332,0.902,0.108,0.187,9.82,14.06,75,54,1.39
Warlock,30,215,0.833,0.088,0.133,29.13,18.03,9,104,0.09
Warrior,371,405,0.903,0.114,0.127,9.81,10.49,77,61,1.26
Wizard,191,298,0.901,0.060,0.115,39.32,15.11,116,63,1.84

# Compressed Matchups
Attacker,Defender,TotalAttacks,HitRate,CritRate,DodgeRate,TotalDamage,AvgDmgPerAttack,Kills,BattlesSampled
Archer,Archer,1,1.000,0.000,0.000,12,12.00,1,1
Archer,Assassin,3,1.000,0.000,0.000,33,11.00,0,1
Archer,Battle Mage,5,0.800,0.200,0.000,25,5.00,0,1
Archer,Cleric,26,0.885,0.269,0.000,115,4.42,3,1
Archer,Crossbowman,11,0.909,0.273,0.000,46,4.18,0,3
Archer,Fighter,7,0.857,0.429,0.143,11,1.57,0,4
Archer,Goblin Raider,18,0.778,0.167,0.167,129,7.17,3,4
Archer,Knight,9,0.889,0.333,0.111,8,0.89,0,1
Archer,Mage,3,1.000,0.667,0.000,16,5.33,0,1
Archer,Marksman,16,0.938,0.375,0.000,170,10.62,4,3
Archer,Ogre,66,0.879,0.212,0.015,58,0.88,3,1
Archer,Orc Warrior,9,1.000,0.111,0.000,10,1.11,0,2
Archer,Paladin,12,0.833,0.250,0.000,12,1.00,0,3
Archer,Priest,3,1.000,0.000,0.000,22,7.33,0,1
Archer,Ranger,42,0.690,0.071,0.167,124,2.95,4,1
Archer,Rogue,21,0.857,0.095,0.095,112,5.33,3,1
Archer,Scout,12,0.667,0.000,0.333,41,3.42,0,1
Archer,Skeleton Archer,6,0.833,0.000,0.000,52,8.67,0,1
Archer,Sorcerer,5,0.800,0.000,0.200,36,7.20,0,3
Archer,Spearman,9,0.889,0.222,0.000,18,2.00,0,3
Archer,Swordsman,7,0.857,0.286,0.000,40,5.71,0,3
Archer,Warlock,12,1.000,0.083,0.000,94,7.83,3,1
Archer,Warrior,14,0.643,0.286,0.143,30,2.14,0,4
Archer,Wizard,24,0.917,0.125,0.000,158,6.58,3,2
Assassin,Archer,18,0.722,0.333,0.167,195,10.83,3,1
Assassin,Battle Mage,19,0.789,0.263,0.053,66,3.47,0,2
Assassin,Cleric,14,0.857,0.357,0.071,131,9.36,2,1
Assassin,Crossbowman,28,0.857,0.214,0.107,179,6.39,6,2
Assassin,Fighter,7,1.000,0.286,0.000,14,2.00,0,2
Assassin,Goblin Raider,20,0.650,0.250,0.200,175,8.75,4,2
Assassin,Knight,25,0.840,0.120,0.080,24,0.96,0,2
Assassin,Mage,10,1.000,0.400,0.000,122,12.20,0,2
Assassin,Marksman,9,0.889,0.667,0.111,180,20.00,0,1
Assassin,Ogre,77,0.896,0.338,0.000,81,1.05,2,2
