# Unit Overview
Unit,AttacksMade,AttacksReceived,OffHitRate,DefDodgeRate,OffCritRate,AvgDmgDealt,AvgDmgTaken,Kills,Deaths,KDRatio
Archer,169,264,0.929,0.098,0.201,18.89,20.72,44,57,0.77
Assassin,246,137,0.898,0.161,0.264,14.32,18.01,33,17,1.94
Battle Mage,324,155,0.920,0.116,0.114,7.17,14.56,27,32,0.84
Cleric,143,183,0.944,0.098,0.112,24.70,13.92,55,37,1.49
Crossbowman,166,199,0.898,0.116,0.193,15.85,17.48,47,43,1.09
Fighter,439,255,0.904,0.082,0.134,11.18,11.85,71,18,3.94
Goblin Raider,229,167,0.917,0.162,0.188,14.88,18.33,35,46,0.76
Knight,402,540,0.896,0.078,0.107,12.15,10.48,68,72,0.94
Mage,92,259,0.913,0.050,0.130,31.97,15.39,45,66,0.68
Marksman,156,172,0.897,0.151,0.224,14.42,19.73,36,67,0.54
Ogre,79,192,0.899,0.062,0.025,16.03,8.74,17,20,0.85
Orc Warrior,272,305,0.893,0.102,0.121,11.99,8.88,62,32,1.94
Paladin,461,496,0.900,0.077,0.074,9.43,9.62,66,66,1.00
Priest,133,177,0.850,0.062,0.128,22.29,16.23,40,53,0.75
Ranger,104,190,0.875,0.168,0.240,15.55,13.87,12,45,0.27
Rogue,243,129,0.897,0.186,0.272,11.41,17.19,19,38,0.50
Scout,189,190,0.926,0.137,0.233,6.93,18.41,24,71,0.34
Skeleton Archer,148,131,0.878,0.076,0.135,16.64,22.24,21,58,0.36
Sorcerer,107,229,0.925,0.083,0.065,34.07,17.92,48,54,0.89
Spearman,419,146,0.890,0.075,0.162,10.45,13.03,58,15,3.87
Swordsman,462,320,0.909,0.097,0.199,12.64,16.74,72,56,1.29
Warlock,40,220,0.950,0.082,0.075,28.07,17.37,18,56,0.32
Warrior,314,274,0.917,0.062,0.140,17.32,14.64,93,37,2.51
Wizard,234,241,0.915,0.066,0.090,34.94,18.03,104,59,1.76

# Compressed Matchups
Attacker,Defender,TotalAttacks,HitRate,CritRate,DodgeRate,TotalDamage,AvgDmgPerAttack,Kills,BattlesSampled
Archer,Archer,7,1.000,0.286,0.000,196,28.00,0,7
Archer,Assassin,2,1.000,0.000,0.000,33,16.50,0,1
Archer,Battle Mage,7,1.000,0.143,0.000,81,11.57,0,2
Archer,Cleric,13,0.692,0.077,0.231,129,9.92,3,1
Archer,Crossbowman,14,0.857,0.071,0.143,179,12.79,4,3
Archer,Fighter,9,0.778,0.333,0.111,114,12.67,1,4
Archer,Goblin Raider,10,0.700,0.100,0.200,115,11.50,2,2
Archer,Knight,19,0.789,0.211,0.158,173,9.11,0,11
Archer,Mage,11,1.000,0.455,0.000,175,15.91,3,2
Archer,Marksman,13,0.769,0.077,0.077,204,15.69,5,3
Archer,Ogre,12,0.583,0.167,0.083,67,5.58,2,1
Archer,Orc Warrior,6,0.833,0.333,0.000,12,2.00,0,1
Archer,Paladin,30,0.933,0.167,0.067,271,9.03,3,10
Archer,Priest,25,0.640,0.200,0.080,268,10.72,5,3
Archer,Ranger,12,1.000,0.250,0.000,180,15.00,4,1
Archer,Rogue,2,1.000,1.000,0.000,52,26.00,1,1
Archer,Scout,12,0.750,0.083,0.167,159,13.25,2,1
Archer,Skeleton Archer,6,0.833,0.667,0.000,147,24.50,4,1
Archer,Sorcerer,14,0.786,0.143,0.143,251,17.93,3,4
Archer,Spearman,15,0.933,0.333,0.000,132,8.80,0,6
Archer,Swordsman,12,0.917,0.333,0.083,243,20.25,1,9
Archer,Warlock,9,1.000,0.111,0.000,158,17.56,3,1
Archer,Warrior,17,0.824,0.000,0.059,179,10.53,1,5
Archer,Wizard,11,1.000,0.182,0.000,221,20.09,4,3
Assassin,Archer,21,0.905,0.286,0.048,336,16.00,2,6
Assassin,Assassin,3,0.333,0.333,0.667,13,4.33,0,1
Assassin,Battle Mage,19,0.737,0.263,0.211,189,9.95,4,2
Assassin,Cleric,20,0.900,0.250,0.100,216,10.80,2,4
Assassin,Crossbowman,20,0.750,0.350,0.100,237,11.85,1,2
Assassin,Fighter,8,1.000,0.250,0.000,48,6.00,0,3
Assassin,Goblin Raider,16,0.875,0.125,0.000,213,13.31,4,4
