Attacker,Defender,AttackType,TotalAttacks,Hits,Misses,Dodges,Criticals,HitRate,DodgeRate,CritRate,TotalDamage,AvgDmgPerAttack,AvgDmgPerHit,TotalKills,BattlesSampled
Archer,Archer,Regular,14,11,0,1,2,0.929,0.071,0.143,334,23.86,25.69,0,14
Archer,Assassin,Regular,3,2,0,0,1,1.000,0.000,0.333,83,27.67,27.67,0,1
Archer,Battle Mage,Regular,9,7,0,0,2,1.000,0.000,0.222,160,17.78,17.78,0,2
Archer,Battle Mage,Counterattack,7,6,1,0,0,0.857,0.000,0.000,21,3.00,3.50,0,3
Archer,Cleric,Regular,15,9,0,3,3,0.800,0.200,0.200,239,15.93,19.92,6,3
Archer,Cleric,Counterattack,9,5,1,1,2,0.778,0.111,0.222,43,4.78,6.14,1,3
Archer,Crossbowman,Regular,13,10,0,1,2,0.923,0.077,0.154,253,19.46,21.08,4,4
Archer,Crossbowman,Counterattack,11,6,1,1,3,0.818,0.091,0.273,54,4.91,6.00,0,5
Archer,Fighter,Regular,9,3,0,1,5,0.889,0.111,0.556,164,18.22,20.50,1,8
Archer,Fighter,Counterattack,9,6,1,2,0,0.667,0.222,0.000,6,0.67,1.00,0,7
Archer,Goblin Raider,Regular,12,7,0,2,3,0.833,0.167,0.250,275,22.92,27.50,5,5
Archer,Goblin Raider,Counterattack,11,6,1,3,1,0.636,0.273,0.091,67,6.09,9.57,1,5
Archer,Knight,Regular,35,24,0,5,6,0.857,0.143,0.171,280,8.00,9.33,0,25
Archer,Knight,Counterattack,9,5,1,2,1,0.667,0.222,0.111,6,0.67,1.00,0,5
Archer,Mage,Regular,17,12,0,1,4,0.941,0.059,0.235,317,18.65,19.81,3,5
Archer,Mage,Counterattack,14,9,1,0,4,0.929,0.000,0.286,66,4.71,5.08,2,4
Archer,Marksman,Regular,10,8,0,1,1,0.900,0.100,0.100,236,23.60,26.22,5,3
Archer,Marksman,Counterattack,12,6,4,1,1,0.583,0.083,0.083,74,6.17,10.57,1,5
Archer,Ogre,Regular,16,12,0,2,2,0.875,0.125,0.125,123,7.69,8.79,3,2
Archer,Ogre,Counterattack,13,6,5,1,1,0.538,0.077,0.077,8,0.62,1.14,0,2
Archer,Orc Warrior,Regular,9,9,0,0,0,1.000,0.000,0.000,29,3.22,3.22,0,2
Archer,Orc Warrior,Counterattack,6,3,1,0,2,0.833,0.000,0.333,6,1.00,1.20,0,2
Archer,Paladin,Regular,45,35,0,3,7,0.933,0.067,0.156,479,10.64,11.40,6,22
Archer,Paladin,Counterattack,31,20,2,3,6,0.839,0.097,0.194,34,1.10,1.31,0,15
Archer,Priest,Regular,17,12,0,2,3,0.882,0.118,0.176,303,17.82,20.20,7,4
Archer,Priest,Counterattack,24,11,7,1,5,0.667,0.042,0.208,125,5.21,7.81,1,5
Archer,Ranger,Regular,15,9,0,4,2,0.733,0.267,0.133,233,15.53,21.18,6,2
Archer,Ranger,Counterattack,15,11,0,1,3,0.933,0.067,0.200,81,5.40,5.79,2,2
Archer,Rogue,Regular,4,3,0,0,1,1.000,0.000,0.250,100,25.00,25.00,1,2
Archer,Rogue,Counterattack,1,0,0,0,1,1.000,0.000,1.000,15,15.00,15.00,0,1
Archer,Scout,Regular,12,9,0,1,2,0.917,0.083,0.167,263,21.92,23.91,5,2
Archer,Scout,Counterattack,12,5,4,2,1,0.500,0.167,0.083,53,4.42,8.83,1,2
Archer,Skeleton Archer,Regular,7,5,0,0,2,1.000,0.000,0.286,213,30.43,30.43,3,2
Archer,Skeleton Archer,Counterattack,5,1,1,0,3,0.800,0.000,0.600,67,13.40,16.75,4,2
Archer,Sorcerer,Regular,18,11,0,3,4,0.833,0.167,0.222,389,21.61,25.93,7,5
Archer,Sorcerer,Counterattack,12,6,4,1,1,0.583,0.083,0.083,53,4.42,7.57,0,2
Archer,Spearman,Regular,14,13,0,0,1,1.000,0.000,0.071,174,12.43,12.43,0,9
Archer,Spearman,Counterattack,21,11,5,0,5,0.762,0.000,0.238,53,2.52,3.31,0,12
Archer,Swordsman,Regular,25,15,0,2,8,0.920,0.080,0.320,510,20.40,22.17,3,20
Archer,Swordsman,Counterattack,3,0,0,1,2,0.667,0.333,0.667,19,6.33,9.50,0,3
Archer,Warlock,Regular,12,10,0,1,1,0.917,0.083,0.083,240,20.00,21.82,5,2
Archer,Warlock,Counterattack,9,8,1,0,0,0.889,0.000,0.000,43,4.78,5.38,0,2
Archer,Warrior,Regular,22,21,0,0,1,1.000,0.000,0.045,317,14.41,14.41,2,9
Archer,Warrior,Counterattack,14,9,3,1,1,0.714,0.071,0.071,11,0.79,1.10,0,8
Archer,Wizard,Regular,16,8,0,0,8,1.000,0.000,0.500,462,28.88,28.88,6,8
Archer,Wizard,Counterattack,11,6,2,2,1,0.636,0.182,0.091,57,5.18,8.14,2,5
Assassin,Archer,Regular,20,15,0,2,3,0.900,0.100,0.150,333,16.65,18.50,3,10
Assassin,Archer,Counterattack,14,6,3,3,2,0.571,0.214,0.143,59,4.21,7.38,0,6
Assassin,Assassin,Regular,4,2,0,2,0,0.500,0.500,0.000,36,9.00,18.00,0,2
Assassin,Assassin,Counterattack,3,1,0,0,2,1.000,0.000,0.667,31,10.33,10.33,1,2
